id,question
1,Quel était le nombre d'étudiants inscrits dans la région Vatovavy Fitovinany (privé) en 2022 ?
2,Quel est le pourcentage d'étudiants inscrits dans le domaine des sciences de l'ingénieur (SI) en 2022 ?
3,Quel était le taux de réussite en Doctorat (PUBLIC) en 2018 ?
4,Combien d'étudiants doctorants étaient inscrits à Fianarantsoa en 2019 ?
5,Quel était le taux de réussite en M1 (PRIVÉ) en 2016 ?
6,Quel était le nombre total d'étudiants féminins inscrits en ENSEMBLE en 2020 ?
7,Quel est le sujet de la Graphe 28 ?
8,Quel domaine est représenté par la ligne verte foncée dans la Graphe 25 ?
9,Quelle est la source du Tableau 02 ?
10,Que présente la Graphe 46 ?
11,Combien d'étudiants étaient inscrits en M1 en 2022 ?
12,Quel était le nombre total d'étudiants étrangers inscrits dans le public en 2022 ?
13,Quel était le nombre total d'étudiants étrangers inscrits dans le privé en 2019 ?
14,Quel était le taux de réussite en L3 (PRIVÉ) en 2016 ?
15,Combien d'enseignants permanents avaient entre 55 et 60 ans en 2019 ?
16,Que représente la Graphe 19 ?
17,Combien d'enseignants permanents de grade P travaillaient en 2022 ?
18,Quel est le nombre d'étudiants boursiers masculins à Toliara en 2022 d'après la Graphe 24 ?
19,Quelle est la source du Tableau 18 ?
20,Quel était le nombre total d'étudiants féminins en ENSEMBLE en 2018 ?
21,Quel était le nombre d'étudiants inscrits dans la région Vakinankaratra (privé) en 2022 ?
22,Quel est le titre de la Graphe 43 ?
23,Combien de PAT étaient inscrits à l'IST en 2020 ?
24,Quel était le nombre d'enseignants à Fianarantsoa en 2022 ?
25,Combien d'étudiants comoriens étaient inscrits en 2019 ?
26,Quel était le nombre d'enseignants permanents de 45 à 50 ans en 2020 ?
27,Quel était le taux de réussite en Doctorat (PRIVÉ) en 2018 ?
28,Sur quelle période porte le Tableau 02 ?
29,Quel est le nombre d'enseignants vacataires féminins à Fianarantsoa en 2022 ?
30,"Quelle est la signification de ""CNTEMAD"" ?"
31,"Quel était le ratio ""étudiants / PE"" en 2020 d'après la Graphe 48 ?"
32,Quelle est la source du Tableau 22 ?
33,D'après le texte descriptif de la Graphe 25. quelle est la proportion des enseignants permanents dans le domaine des sciences de la société ?
34,Combien d'enseignants étaient inscrits à Toamasina en 2022 ?
35,Combien d'étudiants boursiers étaient inscrits à Toamasina en 2017 ?
36,Quel était le nombre de diplômés du secteur public en 2016 d'après la Graphe 42 ?
37,Quel était le nombre d'enseignants à Toamasina en 2017 ?
38,Quel est le titre du Tableau 08 ?
39,Combien d'étudiants comoriens étaient inscrits en 2022 ?
40,D'après le texte descriptif de la Graphe 36. quelle université présente le taux le plus bas ?
41,Quel est le pourcentage d'étudiants inscrits dans le domaine de la santé (SSANTE) en 2022 ?
42,Quel était le taux de réussite en M2 (PUBLIC) en 2020 ?
43,Quel était le nombre total d'étudiants étrangers inscrits dans le public en 2019 ?
44,Quel était le nombre d'enseignants permanents dans le domaine ALSH en 2020 ?
45,"D'après la Graphe 48. quelle ligne représente le ratio ""étudiants / PAT"" ?"
46,Quel était le ratio ETU/PE pour l'ENSEMBLE en 2020 ?
47,Quel est le titre de la Graphe 19 ?
48,Quel est le titre du Tableau 18 ?
49,Quel était le total d'étudiants inscrits en 2022 ?
50,"Quel était le total de PAT dans les ""ENSEMBLE PUBLICS"" en 2020 ?"
51,Combien de PAT masculins étaient inscrits à Antananarivo en 2017 ?
52,Combien d'étudiants étrangers comoriens étaient inscrits en 2018 ?
53,"Quel était le total de PAT dans les ""PUB + PRIVES"" en 2022 ?"
54,Quel est le titre du Tableau 29 ?
55,Quel était le total des diplômés de niveau D en 2019 ?
56,Que représente la Graphe 49 ?
57,Combien d'étudiants étrangers comoriens étaient inscrits en 2017 ?
58,D'après la Graphe 21. quel est le pourcentage d'étudiants étrangers européens à l'ESUP en 2021-2022 ?
59,Quel est le nombre d'étudiants boursiers féminins à Fianarantsoa en 2022 d'après la Graphe 24 ?
60,"Quel était le taux de Redoublement pour ""3 IST"" en 2020 ?"
61,Quelle est la source du Tableau 24 ?
62,Que montre la Graphe 35 ?
63,Quel était le nombre d'étudiants étrangers inscrits dans le public en 2022 d'après la Graphe 20 ?
64,Quel était le nombre d'étudiants inscrits dans la région Androy (privé) en 2022 ?
65,Quelle est la source du Tableau 31 ?
66,D'après la Graphe 21. quel est le pourcentage d'étudiants étrangers africains à l'ESUP en 2021-2022 ?
67,"Quel était le total des diplômés de niveau D pour le ""total PUBLIC"" en 2018 ?"
68,Quel était le nombre d'enseignants permanents de 30 à 35 ans en 2017 ?
69,Combien d'étudiants étaient inscrits dans les Ecoles (total PUBLIC) en 2022 ?
70,Quel était le taux de réussite en Doctorat (PRIVÉ) en 2020 ?
71,Quel est le pourcentage d'enseignants vacataires à Toliara en 2022 d'après la Graphe 33 ?
